,A,ACAd,ACAv,AId,AIp,AIv,AL,AM,AUDd,AUDp,AUDpo,AUDv,DP,ECT,FRP,GU,ILA,LI,LLA,LM,MM,MOp,MOs,ORBl,ORBm,P,PERI,PL,PM,POR,PORa,RL,RSPagl,RSPd,RSPv,SSp-bfd,SSp-lj,SSp-ll,SSp-nm,SSp-tr,SSp-ul,SSp-un,SSs,TEa,TEp,V1,VISC
A,,3.75850533383,3.72333616879,5.72324932488,5.00799549325,5.64063610921,1.99096588998,0.417371903142,2.72486757314,3.12358526632,3.37061537523,3.70184716973,2.77181400658,3.98672289238,6.21065732363,4.88554115193,5.66591716321,2.95433619752,2.3512657773,2.76092827042,0.93142965065,3.86950670166,4.31075017084,6.63083837158,6.70759760948,3.79785225724,4.37735255175,6.14520642817,1.33458635573,3.5169539504,3.63274027945,1.13212120855,1.10473681607,1.41322224378,1.89415953393,2.0212440151,3.54062356581,1.70006385498,4.4964621513,0.847844409298,2.58882557442,1.72568988296,3.20511282619,4.14764964933,3.48568221639,2.34490050299,4.2613198878
ACAd,3.75850533383,,0.789820741612,4.7351015382,6.95439447891,5.90153055616,5.58435758029,3.64018799181,5.75422440609,6.17285363376,6.67646541809,6.68068561065,6.22406119021,7.2630428567,3.4597949643,5.05517408213,1.90795995686,6.52880228719,5.83973613121,6.41626066301,4.1449211122,1.96089472572,1.32884491787,4.94299903833,3.54025232446,7.49532480622,7.43257568592,2.5856139552,4.91901506717,7.09737889826,7.10786532177,4.79559631708,3.72457837252,3.79553644846,4.18961332817,3.84738933741,2.93212585412,2.14020675942,3.9020235181,2.91214127371,2.12177549228,2.75062735556,5.06308805964,7.05440984211,6.87804378831,6.10282587002,6.34291560309
ACAv,3.72333616879,0.789820741612,,5.50269915861,7.44312516831,6.58907917828,5.65831653833,3.52227930068,5.99987575876,6.42469410295,6.86839878545,6.96060627731,6.36144646945,7.4721367114,4.21036983563,5.73252650489,2.15092610069,6.62140988522,5.95829358257,6.46661323528,3.93275247025,2.71542094015,2.11493491234,5.73281466502,4.21201228254,7.51944580601,7.70605341782,3.13320219208,4.74333242729,7.19152502688,7.24731404498,4.82661790648,3.45796815389,3.46678360112,3.7863529116,4.20984669815,3.60034717172,2.30631926405,4.62108724682,2.91309020929,2.63662113448,3.07067041143,5.50749136041,7.358482486,7.04495184589,6.02697482817,6.79467943867
AId,5.72324932488,4.7351015382,5.50269915861,,4.47474919326,1.9216111435,6.2433370541,5.97701534853,5.38584594079,5.60538935458,6.3064065477,5.76360158836,6.3151796756,6.62321373893,2.73502887418,1.60300754261,5.33987952686,6.77723811535,6.16760166126,6.92956468767,6.62179331018,2.79025553407,3.53520670708,1.23742884311,3.64005378917,7.88046644612,6.34229309372,4.4126752825,6.98512533699,7.18204739391,6.92763515661,5.98214047217,6.55262324925,6.81161531232,7.35109380204,3.91687701095,2.27327583692,4.60361005663,1.22691930064,5.24870863462,3.47227762745,4.05739342903,3.73598961418,5.86711465942,6.59829140065,7.35762214516,4.35015351998
AIp,5.00799549325,6.95439447891,7.44312516831,4.47474919326,,2.75974639616,3.92863175574,5.42361509962,2.62763888166,2.46586656182,2.95300199568,2.16090935277,3.40271790661,2.89254342658,6.88189648444,2.88494308962,8.45765213692,3.78523257538,3.57318491696,4.11644551077,5.81681603933,5.43933989023,6.42331334143,5.69628975414,7.76137434976,4.61126612509,2.33447440928,8.07509288879,5.61049817216,3.87856363568,3.48422635036,4.35045042797,6.11068711529,6.41739182529,6.86447415073,3.33685166197,4.26741316502,5.31021955497,3.93333448976,5.23769983083,4.83601334056,4.44827543196,1.96343822458,1.95234337236,3.1961851315,5.05107321517,0.747033728539
AIv,5.64063610921,5.90153055616,6.58907917828,1.9216111435,2.75974639616,,5.51700802578,5.9883269464,4.39321612673,4.48433399627,5.15326856942,4.47265538976,5.34507221284,5.32638582546,4.61698027931,0.864821835164,6.91198907617,5.80297539493,5.31830037022,6.03942418086,6.5709705389,3.9941152484,4.92885620553,3.04989655323,5.52655172489,6.83419408378,4.91126360034,6.16653837736,6.71140764439,6.09460171725,5.76863247667,5.5234975998,6.65530886369,6.95135231553,7.48071289767,3.62177690804,2.98981530995,5.055026227,2.03597385909,5.4361536761,4.09370631354,4.27896054616,2.77998967154,4.45617290656,5.44124443402,6.70601159949,2.85671587268
AL,1.99096588998,5.58435758029,5.65831653833,6.2433370541,3.92863175574,5.51700802578,,2.32012005466,1.30154422266,1.52884506029,1.48474838221,2.04716705915,0.827661551123,2.07683429687,7.4538759139,4.97349427809,7.47757101303,0.966603695589,0.42986338869,0.841428250293,2.35034872366,5.19041706904,5.86692616455,7.35558633125,8.09934070971,1.93364669539,2.58125529832,7.76147681613,1.83098404847,1.53471656459,1.64732498392,0.860547072146,2.82202971982,3.07344438226,3.35832375253,2.41493780419,4.45642706013,3.44433920893,5.08863658668,2.74731050206,3.93913997076,3.01793306141,2.73724358121,2.48462142702,1.53554268677,1.19339995503,3.23731483096
AM,0.417371903142,3.64018799181,3.52227930068,5.97701534853,5.42361509962,5.9883269464,2.32012005466,,3.13018680782,3.5234227179,3.74005421021,4.10163018299,3.1236384166,4.35388400884,6.29455682854,5.21503057717,5.53628691077,3.27035918628,2.70274064694,3.04706781609,0.653394437165,3.96476457336,4.31438610301,6.83656926165,6.74197290483,4.04674162641,4.76611471318,6.10355508091,1.2930253759,3.82332152469,3.96741034214,1.46311818306,0.696160820983,1.00524195253,1.50535979961,2.38378347276,3.75292697315,1.70596360855,4.75383998241,0.831425540866,2.71623183268,1.92818077003,3.60705236864,4.54899128657,3.83939194087,2.50500568425,4.67713937926
AUDd,2.72486757314,5.75422440609,5.99987575876,5.38584594079,2.62763888166,4.39321612673,1.30154422266,3.13018680782,,0.425500962031,1.0019948667,0.989085602912,0.95491502706,1.52649634441,7.00029291039,3.96273767723,7.56343994974,1.41781937402,0.974024526033,1.64915547855,3.37323291441,4.90852316544,5.73678355804,6.56996805203,7.74156628303,2.49881930824,1.71307449127,7.61537311769,3.03255737565,1.79788642187,1.58374030555,1.81582982063,3.76028099425,4.04958093104,4.42716919277,2.01093225797,3.95661085256,3.69358310208,4.33402344452,3.24801021665,3.80381092255,3.00730909435,1.67079717444,1.42709977698,1.27145939512,2.45218897072,1.93913089853
AUDp,3.12358526632,6.17285363376,6.42469410295,5.60538935458,2.46586656182,4.48433399627,1.52884506029,3.5234227179,0.425500962031,,0.701078329243,0.578317249539,0.941438592396,1.13773546001,7.33068863507,4.12755666362,7.97342254946,1.35816764221,1.13152001295,1.66210438201,3.73127215175,5.28183548684,6.12804453014,6.80867850252,8.08949884337,2.34996007807,1.28810002951,7.99915499073,3.33203046122,1.61322815204,1.32297738044,2.1615874919,4.13808437212,4.42167231283,4.77923783981,2.40144387163,4.29658582104,4.11837486131,4.6006339929,3.66880492629,4.2039906759,3.42374783239,1.86971930448,1.02609708221,0.992985209201,2.59169587822,1.842444588
